P1 Action,P2 Action,P1 Type,P2 Type,Winner,P1 Net Dmg,P2 Net Dmg,Mom Shift,Note
Active Block,100 Hand Slap,DEF,OFF,P2,0,0,-3,
Active Block,Immovable Stance,DEF,DEF,P1,0,0,0,
Active Block,Inner Peace,DEF,OFF,P2,0,0,0,
Active Block,Knee Crush,DEF,OFF,P2,0,0,0,
Active Block,Lariat,DEF,OFF,P2,0,2,0,
Active Block,Leg Sweep,DEF,DEF,P1,0,0,0,
Active Block,Master Block,DEF,DEF,P1,0,0,0,
Active Block,Master Dodge,DEF,DEF,P1,0,0,0,
Active Block,Master Heavy,DEF,OFF,P2,0,2,0,
Active Block,Master Light,DEF,OFF,P2,0,1,0,
Active Block,Master Parry,DEF,DEF,P1,0,0,0,
Active Block,Master Positioning,DEF,OFF,P2,0,0,0,
Active Block,Master Reversal,DEF,DEF,P1,0,0,0,
Active Block,Master Tech,DEF,OFF,P2,0,1,0,
Active Block,One-Two,DEF,OFF,P2,0,0,0,
Active Block,Overwhelming Aura,DEF,OFF,P2,0,4,0,
Active Block,Parry Follow-up,DEF,DEF,P1,0,0,0,
Active Block,Perfect Block,DEF,DEF,P1,0,0,0,
Active Block,Perfect Strike,DEF,OFF,P2,0,2,0,
Active Block,Precise Strike,DEF,OFF,P2,0,0,0,
Active Block,Preparation,DEF,OFF,P2,0,0,0,
Active Block,Prime,DEF,DEF,SPEED_TIE,0,0,0,
Active Block,Pummel,DEF,OFF,P2,0,0,-1,
Active Block,Push,DEF,OFF,P2,0,0,0,
Active Block,Push Kick,DEF,DEF,P1,0,0,0,
Active Block,Quick Dodge,DEF,DEF,P1,0,0,0,
Active Block,Read Defence,DEF,OFF,P2,0,0,0,
Active Block,Read Offence,DEF,DEF,P1,0,0,0,
Active Block,Redirect,DEF,DEF,P1,0,0,0,
Active Block,Resounding Counter,DEF,DEF,P1,0,1,0,
Active Block,Resounding Parry,DEF,DEF,P1,0,0,0,
Active Block,Retreating Defence,DEF,DEF,P1,0,0,0,
Active Block,Roll Punch,DEF,OFF,P2,0,0,-2,
Active Block,Roundhouse Kick,DEF,OFF,P2,0,2,0,
Active Block,Slapping Parry,DEF,DEF,SPEED_TIE,0,1,0,
Active Block,Slip Behind,DEF,DEF,P1,0,0,0,
Active Block,Step-up,DEF,OFF,P2,0,0,0,
Active Block,Strike Back,DEF,DEF,SPEED_TIE,0,0,0,
Active Block,Suplex,DEF,OFF,P2,0,2,0,
Active Block,Throw,DEF,OFF,P2,0,2,0,
Active Block,Tiring Parry,DEF,DEF,P1,0,0,0,
Active Block,Toppling Kick,DEF,DEF,SPEED_TIE,0,0,0,
Active Block,Twist Arm,DEF,OFF,P2,0,0,0,
Active Block,Ultimate Barrage,DEF,OFF,P2,0,0,-9,
Active Block,Unassailable Stance,DEF,OFF,P2,0,0,0,
Active Block,Untouchable Dodge,DEF,DEF,P1,0,0,0,
Active Block,Uppercut,DEF,OFF,P2,0,0,0,
Active Block,Vital Point Assault,DEF,OFF,P2,0,2,0,
Active Block,Vital Strike,DEF,OFF,P2,0,1,0,
Active Block,Weave,DEF,DEF,SPEED_TIE,0,0,0,
Active Block,Wind-up,DEF,DEF,P1,0,0,0,
Adept Block,Active Block,DEF,DEF,SPEED_TIE,0,0,0,
Adept Block,Adept Block,DEF,DEF,SPEED_TIE,0,0,0,
Adept Block,Adept Dodge,DEF,DEF,P1,0,0,0,
Adept Block,Adept Heavy,DEF,OFF,P2,0,0,-3,
Adept Block,Adept Light,DEF,OFF,P2,0,0,-1,
Adept Block,Adept Parry,DEF,DEF,P1,0,0,0,
Adept Block,Adept Positioning,DEF,OFF,P2,0,0,0,
Adept Block,Adept Reversal,DEF,DEF,P1,0,0,-1,
Adept Block,Adept Tech,DEF,OFF,P2,0,0,0,
Adept Block,Adjust Stance,DEF,OFF,P2,0,0,0,
Adept Block,Advancing Parry,DEF,DEF,P1,0,0,0,
Adept Block,Basic Block,DEF,DEF,SPEED_TIE,0,0,0,
Adept Block,Basic Dodge,DEF,DEF,P1,0,0,0,
Adept Block,Basic Heavy,DEF,OFF,P2,0,1,-3,
Adept Block,Basic Light,DEF,OFF,P2,0,0,0,
Adept Block,Basic Parry,DEF,DEF,SPEED_TIE,0,0,0,
Adept Block,Basic Positioning,DEF,OFF,P2,0,0,0,
Adept Block,Basic Reversal,DEF,DEF,SPEED_TIE,0,0,0,
Adept Block,Basic Technical,DEF,OFF,P2,0,0,-1,
Adept Block,Breakout,DEF,DEF,P1,0,0,-1,
Adept Block,Catch,DEF,DEF,P1,0,0,0,
Adept Block,Counter Strike,DEF,DEF,P1,0,0,0,
Adept Block,Crushing Block,DEF,DEF,P1,0,0,0,
Adept Block,Discombobulate,DEF,OFF,P2,0,0,0,
Adept Block,Draining Defence,DEF,DEF,SPEED_TIE,0,0,0,
Adept Block,Drop Kick,DEF,OFF,P2,0,2,0,
Adept Block,Drop Prone,DEF,DEF,P1,0,0,0,
Adept Block,Drop Punch,DEF,DEF,P1,0,1,0,
Adept Block,Elbow Block,DEF,DEF,P1,0,0,0,
Adept Block,Evading Dance,DEF,DEF,P1,0,0,-1,
Adept Block,Final Strike,DEF,OFF,P2,0,13,0,
Adept Block,Flying Kick,DEF,OFF,P2,0,0,-2,
Adept Block,Go with the Flow,DEF,OFF,P2,0,0,0,
Adept Block,Grab,DEF,OFF,P2,0,0,0,
Adept Block,Hand Catch,DEF,DEF,P1,0,0,0,
Adept Block,Haymaker,DEF,OFF,P2,0,0,-3,
Adept Block,Headbutt,DEF,OFF,P2,0,0,0,
Adept Block,100 Hand Slap,DEF,OFF,P2,0,0,-4,
Adept Block,Immovable Stance,DEF,DEF,P1,0,0,-2,
Adept Block,Inner Peace,DEF,OFF,P2,0,0,0,
Adept Block,Knee Crush,DEF,OFF,P2,0,0,-4,
Adept Block,Lariat,DEF,OFF,P2,0,1,-2,
Adept Block,Leg Sweep,DEF,DEF,P1,0,0,0,
Adept Block,Master Block,DEF,DEF,P1,0,0,0,
Adept Block,Master Dodge,DEF,DEF,P1,0,0,-1,
Adept Block,Master Heavy,DEF,OFF,P2,0,1,-3,
Adept Block,Master Light,DEF,OFF,P2,0,0,-2,
Adept Block,Master Parry,DEF,DEF,P1,0,0,0,
Adept Block,Master Positioning,DEF,OFF,P2,0,0,0,
Adept Block,Master Reversal,DEF,DEF,P1,0,0,-2,
Adept Block,Master Tech,DEF,OFF,P2,0,0,0,
Adept Block,One-Two,DEF,OFF,P2,0,0,-1,
Adept Block,Overwhelming Aura,DEF,OFF,P2,0,3,0,
Adept Block,Parry Follow-up,DEF,DEF,P1,0,0,0,
Adept Block,Perfect Block,DEF,DEF,P1,0,0,0,
Adept Block,Perfect Strike,DEF,OFF,P2,0,1,-1,
Adept Block,Precise Strike,DEF,OFF,P2,0,0,-1,
Adept Block,Preparation,DEF,OFF,P2,0,0,0,
Adept Block,Prime,DEF,DEF,SPEED_TIE,0,0,0,
Adept Block,Pummel,DEF,OFF,P2,0,0,-2,
Adept Block,Push,DEF,OFF,P2,0,0,-1,
Adept Block,Push Kick,DEF,DEF,P1,0,0,-1,
Adept Block,Quick Dodge,DEF,DEF,P1,0,0,0,
Adept Block,Read Defence,DEF,OFF,P2,0,0,0,
Adept Block,Read Offence,DEF,DEF,P1,0,0,0,
Adept Block,Redirect,DEF,DEF,P1,0,0,0,
Adept Block,Resounding Counter,DEF,DEF,P1,0,0,-2,
Adept Block,Resounding Parry,DEF,DEF,P1,0,0,0,
Adept Block,Retreating Defence,DEF,DEF,P1,0,0,0,
Adept Block,Roll Punch,DEF,OFF,P2,0,0,-3,
Adept Block,Roundhouse Kick,DEF,OFF,P2,0,1,-2,
Adept Block,Slapping Parry,DEF,DEF,SPEED_TIE,0,0,0,
Adept Block,Slip Behind,DEF,DEF,P1,0,0,0,
Adept Block,Step-up,DEF,OFF,P2,0,0,-1,
Adept Block,Strike Back,DEF,DEF,SPEED_TIE,0,0,0,
Adept Block,Suplex,DEF,OFF,P2,0,1,-3,
Adept Block,Throw,DEF,OFF,P2,0,1,-1,
Adept Block,Tiring Parry,DEF,DEF,P1,0,0,0,
Adept Block,Toppling Kick,DEF,DEF,SPEED_TIE,0,0,0,
Adept Block,Twist Arm,DEF,OFF,P2,0,0,0,
Adept Block,Ultimate Barrage,DEF,OFF,P2,0,0,-10,
Adept Block,Unassailable Stance,DEF,OFF,P2,0,0,0,
Adept Block,Untouchable Dodge,DEF,DEF,P1,0,0,0,
Adept Block,Uppercut,DEF,OFF,P2,0,0,-3,
Adept Block,Vital Point Assault,DEF,OFF,P2,0,0,0,
Adept Block,Vital Strike,DEF,OFF,P2,0,0,0,
Adept Block,Weave,DEF,DEF,SPEED_TIE,0,0,0,
Adept Block,Wind-up,DEF,DEF,P1,0,0,-2,
Adept Dodge,Active Block,DEF,DEF,P2,0,0,0,
Adept Dodge,Adept Block,DEF,DEF,P2,0,0,0,
Adept Dodge,Adept Dodge,DEF,DEF,SPEED_TIE,0,0,0,
Adept Dodge,Adept Heavy,DEF,OFF,P2,0,0,-3,
Adept Dodge,Adept Light,DEF,OFF,P2,0,0,-1,
Adept Dodge,Adept Parry,DEF,DEF,P2,0,0,0,
Adept Dodge,Adept Positioning,DEF,OFF,P2,0,0,0,
Adept Dodge,Adept Reversal,DEF,DEF,P2,0,0,-1,
Adept Dodge,Adept Tech,DEF,OFF,P2,0,0,0,
Adept Dodge,Adjust Stance,DEF,OFF,P2,0,0,0,
Adept Dodge,Advancing Parry,DEF,DEF,P2,0,0,0,
Adept Dodge,Basic Block,DEF,DEF,P2,0,0,0,
Adept Dodge,Basic Dodge,DEF,DEF,P2,0,0,0,
Adept Dodge,Basic Heavy,DEF,OFF,P2,0,0,-3,
Adept Dodge,Basic Light,DEF,OFF,P2,0,0,0,
Adept Dodge,Basic Parry,DEF,DEF,P2,0,0,0,
Adept Dodge,Basic Positioning,DEF,OFF,P2,0,0,0,
Adept Dodge,Basic Reversal,DEF,DEF,P2,0,0,0,
Adept Dodge,Basic Technical,DEF,OFF,P2,0,0,-1,
Adept Dodge,Breakout,DEF,DEF,P2,0,0,-1,
Adept Dodge,Catch,DEF,DEF,P2,0,0,0,
Adept Dodge,Counter Strike,DEF,DEF,P2,0,0,0,
Adept Dodge,Crushing Block,DEF,DEF,P2,0,0,0,
Adept Dodge,Discombobulate,DEF,OFF,P2,0,0,0,
Adept Dodge,Draining Defence,DEF,DEF,P2,0,0,0,
Adept Dodge,Drop Kick,DEF,OFF,P2,0,0,0,
Adept Dodge,Drop Prone,DEF,DEF,P1,0,0,0,
Adept Dodge,Drop Punch,DEF,DEF,SPEED_TIE,0,0,0,
Adept Dodge,Elbow Block,DEF,DEF,P2,0,0,0,
Adept Dodge,Evading Dance,DEF,DEF,SPEED_TIE,0,0,-1,
Adept Dodge,Final Strike,DEF,OFF,P2,0,15,0,
Adept Dodge,Flying Kick,DEF,OFF,P2,0,0,-2,
Adept Dodge,Go with the Flow,DEF,OFF,P2,0,0,0,
Adept Dodge,Grab,DEF,OFF,P2,0,0,0,
Adept Dodge,Hand Catch,DEF,DEF,P2,0,0,0,
Adept Dodge,Haymaker,DEF,OFF,P2,0,0,-3,
Adept Dodge,Headbutt,DEF,OFF,P2,0,0,0,
Adept Dodge,100 Hand Slap,DEF,OFF,P2,0,4,-4,
Adept Dodge,Immovable Stance,DEF,DEF,P2,0,0,-2,
Adept Dodge,Inner Peace,DEF,OFF,P2,0,0,0,
Adept Dodge,Knee Crush,DEF,OFF,P2,0,0,-4,
Adept Dodge,Lariat,DEF,OFF,P2,0,0,-2,
Adept Dodge,Leg Sweep,DEF,DEF,P2,0,0,0,
Adept Dodge,Master Block,DEF,DEF,P2,0,0,0,
Adept Dodge,Master Dodge,DEF,DEF,P2,0,0,-1,
Adept Dodge,Master Heavy,DEF,OFF,P2,0,3,-3,
Adept Dodge,Master Light,DEF,OFF,P2,0,0,-2,
Adept Dodge,Master Parry,DEF,DEF,P2,0,0,0,
Adept Dodge,Master Positioning,DEF,OFF,P2,0,0,0,
Adept Dodge,Master Reversal,DEF,DEF,P2,0,0,-2,
Adept Dodge,Master Tech,DEF,OFF,P2,0,0,0,
Adept Dodge,One-Two,DEF,OFF,P2,0,0,-1,
Adept Dodge,Overwhelming Aura,DEF,OFF,P2,0,0,0,
Adept Dodge,Parry Follow-up,DEF,DEF,P2,0,0,0,
Adept Dodge,Perfect Block,DEF,DEF,P2,0,0,0,
Adept Dodge,Perfect Strike,DEF,OFF,P2,0,0,-1,
Adept Dodge,Precise Strike,DEF,OFF,P2,0,0,-1,
Adept Dodge,Preparation,DEF,OFF,P2,0,0,0,
Adept Dodge,Prime,DEF,DEF,P2,0,0,0,
Adept Dodge,Pummel,DEF,OFF,P2,0,0,-2,
Adept Dodge,Push,DEF,OFF,P2,0,0,-1,
Adept Dodge,Push Kick,DEF,DEF,P2,0,0,-1,
Adept Dodge,Quick Dodge,DEF,DEF,P2,0,0,0,
Adept Dodge,Read Defence,DEF,OFF,P2,0,0,0,
Adept Dodge,Read Offence,DEF,DEF,P2,0,0,0,
Adept Dodge,Redirect,DEF,DEF,P2,0,0,0,
Adept Dodge,Resounding Counter,DEF,DEF,P2,0,0,-2,
Adept Dodge,Resounding Parry,DEF,DEF,P2,0,0,0,
Adept Dodge,Retreating Defence,DEF,DEF,P2,0,0,0,
Adept Dodge,Roll Punch,DEF,OFF,P2,0,0,-3,
Adept Dodge,Roundhouse Kick,DEF,OFF,P2,0,0,-2,
Adept Dodge,Slapping Parry,DEF,DEF,P2,0,0,0,
Adept Dodge,Slip Behind,DEF,DEF,SPEED_TIE,0,0,0,
Adept Dodge,Step-up,DEF,OFF,P2,0,0,-1,
Adept Dodge,Strike Back,DEF,DEF,P2,0,0,0,
Adept Dodge,Suplex,DEF,OFF,P2,0,0,-3,
Adept Dodge,Throw,DEF,OFF,P2,0,0,-1,
Adept Dodge,Tiring Parry,DEF,DEF,P2,0,0,0,
Adept Dodge,Toppling Kick,DEF,DEF,P2,0,0,0,
Adept Dodge,Twist Arm,DEF,OFF,P2,0,0,0,
Adept Dodge,Ultimate Barrage,DEF,OFF,P2,0,10,-10,
Adept Dodge,Unassailable Stance,DEF,OFF,P2,0,0,0,
Adept Dodge,Untouchable Dodge,DEF,DEF,P2,0,0,0,
Adept Dodge,Uppercut,DEF,OFF,P2,0,0,-3,
Adept Dodge,Vital Point Assault,DEF,OFF,P2,0,4,0,
Adept Dodge,Vital Strike,DEF,OFF,P2,0,0,0,
Adept Dodge,Weave,DEF,DEF,P2,0,0,0,
Adept Dodge,Wind-up,DEF,DEF,SPEED_TIE,0,0,-2,
Adept Heavy,Active Block,OFF,DEF,P1,1,0,0,
Adept Heavy,Adept Block,OFF,DEF,P1,0,0,3,
Adept Heavy,Adept Dodge,OFF,DEF,P1,0,0,3,
Adept Heavy,Adept Heavy,OFF,OFF,SPEED_TIE,2,2,0,
Adept Heavy,Adept Light,OFF,OFF,P2,2,2,2,
Adept Heavy,Adept Parry,OFF,DEF,P1,2,0,0,
Adept Heavy,Adept Positioning,OFF,OFF,P2,2,0,3,
Adept Heavy,Adept Reversal,OFF,DEF,P1,2,0,2,
Adept Heavy,Adept Tech,OFF,OFF,SPEED_TIE,2,1,3,
Adept Heavy,Adjust Stance,OFF,OFF,P2,2,0,3,
Adept Heavy,Advancing Parry,OFF,DEF,P1,2,0,0,
Adept Heavy,Basic Block,OFF,DEF,P1,1,0,3,
Adept Heavy,Basic Dodge,OFF,DEF,P1,0,0,3,
Adept Heavy,Basic Heavy,OFF,OFF,P1,2,3,0,
Adept Heavy,Basic Light,OFF,OFF,P2,2,1,3,
Adept Heavy,Basic Parry,OFF,DEF,P1,2,0,0,
Adept Heavy,Basic Positioning,OFF,OFF,P2,2,0,3,
Adept Heavy,Basic Reversal,OFF,DEF,P1,2,0,3,
Adept Heavy,Basic Technical,OFF,OFF,SPEED_TIE,2,1,2,
Adept Heavy,Breakout,OFF,DEF,P1,1,0,2,
Adept Heavy,Catch,OFF,DEF,P1,0,0,3,
Adept Heavy,Counter Strike,OFF,DEF,P1,2,1,0,
Adept Heavy,Crushing Block,OFF,DEF,P1,0,1,3,
Adept Heavy,Discombobulate,OFF,OFF,P2,2,1,3,
Adept Heavy,Draining Defence,OFF,DEF,P1,1,0,3,
Adept Heavy,Drop Kick,OFF,OFF,SPEED_TIE,2,4,3,
Adept Heavy,Drop Prone,OFF,DEF,P1,0,0,3,
Adept Heavy,Drop Punch,OFF,DEF,P1,1,3,3,
Adept Heavy,Elbow Block,OFF,DEF,P1,0,1,3,
Adept Heavy,Evading Dance,OFF,DEF,P1,0,0,2,
Adept Heavy,Final Strike,OFF,OFF,P1,2,15,3,
Adept Heavy,Flying Kick,OFF,OFF,SPEED_TIE,2,1,1,
Adept Heavy,Go with the Flow,OFF,OFF,P1,2,0,3,
Adept Heavy,Grab,OFF,OFF,P2,2,0,3,
Adept Heavy,Hand Catch,OFF,DEF,P1,1,0,3,
Adept Heavy,Haymaker,OFF,OFF,P1,2,2,0,
Adept Heavy,Headbutt,OFF,OFF,P2,2,0,3,
Adept Heavy,100 Hand Slap,OFF,OFF,P2,2,4,-1,
Adept Heavy,Immovable Stance,OFF,DEF,P1,0,0,1,
Adept Heavy,Inner Peace,OFF,OFF,P2,2,0,3,
Adept Heavy,Knee Crush,OFF,OFF,P1,2,1,-1,
Adept Heavy,Lariat,OFF,OFF,SPEED_TIE,2,3,1,
Adept Heavy,Leg Sweep,OFF,DEF,P1,2,0,3,
Adept Heavy,Master Block,OFF,DEF,P1,0,0,3,
Adept Heavy,Master Dodge,OFF,DEF,P1,0,0,2,
Adept Heavy,Master Heavy,OFF,OFF,P1,2,3,0,
Adept Heavy,Master Light,OFF,OFF,P1,2,2,1,
Adept Heavy,Master Parry,OFF,DEF,P1,2,0,0,
Adept Heavy,Master Positioning,OFF,OFF,P2,2,0,3,
Adept Heavy,Master Reversal,OFF,DEF,P1,2,0,1,
Adept Heavy,Master Tech,OFF,OFF,P1,2,2,3,
Adept Heavy,One-Two,OFF,OFF,SPEED_TIE,2,1,2,
Adept Heavy,Overwhelming Aura,OFF,OFF,P2,2,5,3,
Adept Heavy,Parry Follow-up,OFF,DEF,P1,2,0,0,
Adept Heavy,Perfect Block,OFF,DEF,P1,0,0,3,
Adept Heavy,Perfect Strike,OFF,OFF,P1,2,3,2,
Adept Heavy,Precise Strike,OFF,OFF,SPEED_TIE,2,1,2,
Adept Heavy,Preparation,OFF,OFF,P2,2,0,3,
Adept Heavy,Prime,OFF,DEF,P1,1,0,3,
Adept Heavy,Pummel,OFF,OFF,P2,2,0,1,
Adept Heavy,Push,OFF,OFF,P2,2,0,2,
Adept Heavy,Push Kick,OFF,DEF,P1,2,0,2,
Adept Heavy,Quick Dodge,OFF,DEF,P1,2,0,3,
Adept Heavy,Read Defence,OFF,OFF,SPEED_TIE,2,0,3,
Adept Heavy,Read Offence,OFF,DEF,P1,2,0,3,
Adept Heavy,Redirect,OFF,DEF,P1,2,0,0,
Adept Heavy,Resounding Counter,OFF,DEF,P1,2,2,1,
Adept Heavy,Resounding Parry,OFF,DEF,P1,2,0,0,
Adept Heavy,Retreating Defence,OFF,DEF,P1,2,0,0,
Adept Heavy,Roll Punch,OFF,OFF,P2,2,3,0,
Adept Heavy,Roundhouse Kick,OFF,OFF,P1,2,3,1,
Adept Heavy,Slapping Parry,OFF,DEF,P1,2,2,0,
Adept Heavy,Slip Behind,OFF,DEF,P1,0,0,3,
Adept Heavy,Step-up,OFF,OFF,P2,2,0,2,
Adept Heavy,Strike Back,OFF,DEF,P1,2,0,3,
Adept Heavy,Suplex,OFF,OFF,P1,2,3,0,
Adept Heavy,Throw,OFF,OFF,SPEED_TIE,2,3,2,
Adept Heavy,Tiring Parry,OFF,DEF,P1,2,0,0,
Adept Heavy,Toppling Kick,OFF,DEF,P1,2,1,3,
Adept Heavy,Twist Arm,OFF,OFF,P2,2,0,3,
Adept Heavy,Ultimate Barrage,OFF,OFF,P2,2,10,-7,
Adept Heavy,Unassailable Stance,OFF,OFF,P2,2,0,3,
Adept Heavy,Untouchable Dodge,OFF,DEF,P1,2,0,3,
Adept Heavy,Uppercut,OFF,OFF,P2,2,0,0,
Adept Heavy,Vital Point Assault,OFF,OFF,SPEED_TIE,2,4,3,
Adept Heavy,Vital Strike,OFF,OFF,P1,2,2,3,
Adept Heavy,Weave,OFF,DEF,P1,2,0,3,
Adept Heavy,Wind-up,OFF,DEF,P1,2,1,1,
Adept Light,Active Block,OFF,DEF,P1,1,0,0,
Adept Light,Adept Block,OFF,DEF,P1,0,0,1,
Adept Light,Adept Dodge,OFF,DEF,P1,0,0,1,
Adept Light,Adept Heavy,OFF,OFF,P1,2,2,-2,
Adept Light,Adept Light,OFF,OFF,SPEED_TIE,2,2,0,
Adept Light,Adept Parry,OFF,DEF,P1,2,0,0,
Adept Light,Adept Positioning,OFF,OFF,P2,2,0,1,
Adept Light,Adept Reversal,OFF,DEF,P1,2,0,0,
Adept Light,Adept Tech,OFF,OFF,P1,2,1,1,
Adept Light,Adjust Stance,OFF,OFF,SPEED_TIE,2,0,1,
Adept Light,Advancing Parry,OFF,DEF,P1,0,0,0,
Adept Light,Basic Block,OFF,DEF,P1,1,0,1,
Adept Light,Basic Dodge,OFF,DEF,P1,0,0,1,
Adept Light,Basic Heavy,OFF,OFF,P1,2,3,-2,
Adept Light,Basic Light,OFF,OFF,SPEED_TIE,2,1,1,
Adept Light,Basic Parry,OFF,DEF,P1,2,0,0,
Adept Light,Basic Positioning,OFF,OFF,P2,2,0,1,
Adept Light,Basic Reversal,OFF,DEF,P1,2,0,1,
Adept Light,Basic Technical,OFF,OFF,P1,2,1,0,
Adept Light,Breakout,OFF,DEF,P1,1,0,0,
Adept Light,Catch,OFF,DEF,P1,0,0,1,
Adept Light,Counter Strike,OFF,DEF,P1,2,1,0,
Adept Light,Crushing Block,OFF,DEF,P1,0,1,1,
Adept Light,Discombobulate,OFF,OFF,SPEED_TIE,2,1,1,
Adept Light,Draining Defence,OFF,DEF,P1,1,0,1,
Adept Light,Drop Kick,OFF,OFF,P1,2,4,1,
Adept Light,Drop Prone,OFF,DEF,P1,0,0,1,
Adept Light,Drop Punch,OFF,DEF,P1,1,3,1,
Adept Light,Elbow Block,OFF,DEF,P1,0,1,1,
Adept Light,Evading Dance,OFF,DEF,P1,0,0,0,
Adept Light,Final Strike,OFF,OFF,P1,2,15,1,
Adept Light,Flying Kick,OFF,OFF,P1,2,1,-1,
Adept Light,Go with the Flow,OFF,OFF,P1,2,0,1,
Adept Light,Grab,OFF,OFF,SPEED_TIE,2,0,1,
Adept Light,Hand Catch,OFF,DEF,P1,1,0,1,
Adept Light,Haymaker,OFF,OFF,P1,2,2,-2,
Adept Light,Headbutt,OFF,OFF,SPEED_TIE,2,0,1,
Adept Light,100 Hand Slap,OFF,OFF,SPEED_TIE,2,4,-3,
Adept Light,Immovable Stance,OFF,DEF,P1,0,0,-1,
Adept Light,Inner Peace,OFF,OFF,P2,2,0,1,
Adept Light,Knee Crush,OFF,OFF,P1,2,1,-3,
Adept Light,Lariat,OFF,OFF,P1,2,3,-1,
Adept Light,Leg Sweep,OFF,DEF,P1,2,0,1,
Adept Light,Master Block,OFF,DEF,P1,0,0,1,
Adept Light,Master Dodge,OFF,DEF,P1,0,0,0,
Adept Light,Master Heavy,OFF,OFF,P1,2,3,-2,
Adept Light,Master Light,OFF,OFF,P1,2,2,-1,
Adept Light,Master Parry,OFF,DEF,P1,2,0,0,
Adept Light,Master Positioning,OFF,OFF,P2,2,0,1,
Adept Light,Master Reversal,OFF,DEF,P1,2,0,-1,
Adept Light,Master Tech,OFF,OFF,P1,2,2,1,
Adept Light,One-Two,OFF,OFF,P1,2,1,0,
Adept Light,Overwhelming Aura,OFF,OFF,P2,2,5,1,
Adept Light,Parry Follow-up,OFF,DEF,P1,2,0,0,
Adept Light,Perfect Block,OFF,DEF,P1,0,0,1,
Adept Light,Perfect Strike,OFF,OFF,P1,2,3,0,
Adept Light,Precise Strike,OFF,OFF,P1,2,1,0,
Adept Light,Preparation,OFF,OFF,P2,2,0,1,
Adept Light,Prime,OFF,DEF,P1,1,0,1,
Adept Light,Pummel,OFF,OFF,SPEED_TIE,2,0,-1,
Adept Light,Push,OFF,OFF,SPEED_TIE,2,0,0,
Adept Light,Push Kick,OFF,DEF,P1,2,0,0,
Adept Light,Quick Dodge,OFF,DEF,P1,0,0,1,
Adept Light,Read Defence,OFF,OFF,P1,2,0,1,
Adept Light,Read Offence,OFF,DEF,P1,2,0,1,
Adept Light,Redirect,OFF,DEF,P1,2,0,0,
Adept Light,Resounding Counter,OFF,DEF,P1,2,2,-1,
Adept Light,Resounding Parry,OFF,DEF,P1,2,0,0,
Adept Light,Retreating Defence,OFF,DEF,P1,2,0,0,
Adept Light,Roll Punch,OFF,OFF,SPEED_TIE,2,3,-2,
Adept Light,Roundhouse Kick,OFF,OFF,P1,2,3,-1,
Adept Light,Slapping Parry,OFF,DEF,P1,2,2,0,
Adept Light,Slip Behind,OFF,DEF,P1,0,0,1,
Adept Light,Step-up,OFF,OFF,P2,2,0,0,
Adept Light,Strike Back,OFF,DEF,P1,2,0,1,
Adept Light,Suplex,OFF,OFF,P1,2,3,-2,
Adept Light,Throw,OFF,OFF,P1,2,3,0,
